Pair_ID,Lane1_MeshID,Lane2_MeshID,OUTCOME_CODE,FILENAME
P07,H01,H08,HB_short_win,H01_vs_H08__HB_short_win
P07,H01,H08,tie_photo_finish,H01_vs_H08__tie_photo_finish
P08,H01,H09,HA_long_win,H01_vs_H09__HA_long_win
P08,H01,H09,HA_medium_win,H01_vs_H09__HA_medium_win
P08,H01,H09,HA_short_win,H01_vs_H09__HA_short_win
P08,H01,H09,HB_long_win,H01_vs_H09__HB_long_win
P08,H01,H09,HB_medium_win,H01_vs_H09__HB_medium_win
P08,H01,H09,HB_short_win,H01_vs_H09__HB_short_win
P08,H01,H09,tie_photo_finish,H01_vs_H09__tie_photo_finish
P09,H01,H10,HA_long_win,H01_vs_H10__HA_long_win
P09,H01,H10,HA_medium_win,H01_vs_H10__HA_medium_win
P09,H01,H10,HA_short_win,H01_vs_H10__HA_short_win
P09,H01,H10,HB_long_win,H01_vs_H10__HB_long_win
P09,H01,H10,HB_medium_win,H01_vs_H10__HB_medium_win
P09,H01,H10,HB_short_win,H01_vs_H10__HB_short_win
P09,H01,H10,tie_photo_finish,H01_vs_H10__tie_photo_finish
P10,H02,H03,HA_long_win,H02_vs_H03__HA_long_win
P10,H02,H03,HA_medium_win,H02_vs_H03__HA_medium_win
P10,H02,H03,HA_short_win,H02_vs_H03__HA_short_win
P10,H02,H03,HB_long_win,H02_vs_H03__HB_long_win
P10,H02,H03,HB_medium_win,H02_vs_H03__HB_medium_win
P10,H02,H03,HB_short_win,H02_vs_H03__HB_short_win
P10,H02,H03,tie_photo_finish,H02_vs_H03__tie_photo_finish
P11,H02,H04,HA_long_win,H02_vs_H04__HA_long_win
P11,H02,H04,HA_medium_win,H02_vs_H04__HA_medium_win
P11,H02,H04,HA_short_win,H02_vs_H04__HA_short_win
P11,H02,H04,HB_long_win,H02_vs_H04__HB_long_win
P11,H02,H04,HB_medium_win,H02_vs_H04__HB_medium_win
P11,H02,H04,HB_short_win,H02_vs_H04__HB_short_win
P11,H02,H04,tie_photo_finish,H02_vs_H04__tie_photo_finish
P12,H02,H05,HA_long_win,H02_vs_H05__HA_long_win
P12,H02,H05,HA_medium_win,H02_vs_H05__HA_medium_win
P12,H02,H05,HA_short_win,H02_vs_H05__HA_short_win
P12,H02,H05,HB_long_win,H02_vs_H05__HB_long_win
P12,H02,H05,HB_medium_win,H02_vs_H05__HB_medium_win
P12,H02,H05,HB_short_win,H02_vs_H05__HB_short_win
P12,H02,H05,tie_photo_finish,H02_vs_H05__tie_photo_finish
P13,H02,H06,HA_long_win,H02_vs_H06__HA_long_win
P13,H02,H06,HA_medium_win,H02_vs_H06__HA_medium_win
P13,H02,H06,HA_short_win,H02_vs_H06__HA_short_win
P13,H02,H06,HB_long_win,H02_vs_H06__HB_long_win
P13,H02,H06,HB_medium_win,H02_vs_H06__HB_medium_win
P13,H02,H06,HB_short_win,H02_vs_H06__HB_short_win
P13,H02,H06,tie_photo_finish,H02_vs_H06__tie_photo_finish
P14,H02,H07,HA_long_win,H02_vs_H07__HA_long_win
P14,H02,H07,HA_medium_win,H02_vs_H07__HA_medium_win
P14,H02,H07,HA_short_win,H02_vs_H07__HA_short_win
P14,H02,H07,HB_long_win,H02_vs_H07__HB_long_win
P14,H02,H07,HB_medium_win,H02_vs_H07__HB_medium_win
P14,H02,H07,HB_short_win,H02_vs_H07__HB_short_win
P14,H02,H07,tie_photo_finish,H02_vs_H07__tie_photo_finish
P15,H02,H08,HA_long_win,H02_vs_H08__HA_long_win
P15,H02,H08,HA_medium_win,H02_vs_H08__HA_medium_win
P15,H02,H08,HA_short_win,H02_vs_H08__HA_short_win
P15,H02,H08,HB_long_win,H02_vs_H08__HB_long_win
P15,H02,H08,HB_medium_win,H02_vs_H08__HB_medium_win
P15,H02,H08,HB_short_win,H02_vs_H08__HB_short_win
P15,H02,H08,tie_photo_finish,H02_vs_H08__tie_photo_finish
P16,H02,H09,HA_long_win,H02_vs_H09__HA_long_win
P16,H02,H09,HA_medium_win,H02_vs_H09__HA_medium_win
P16,H02,H09,HA_short_win,H02_vs_H09__HA_short_win
P16,H02,H09,HB_long_win,H02_vs_H09__HB_long_win
P16,H02,H09,HB_medium_win,H02_vs_H09__HB_medium_win
P16,H02,H09,HB_short_win,H02_vs_H09__HB_short_win
P16,H02,H09,tie_photo_finish,H02_vs_H09__tie_photo_finish
P17,H02,H10,HA_long_win,H02_vs_H10__HA_long_win
P17,H02,H10,HA_medium_win,H02_vs_H10__HA_medium_win
P17,H02,H10,HA_short_win,H02_vs_H10__HA_short_win
P17,H02,H10,HB_long_win,H02_vs_H10__HB_long_win
P17,H02,H10,HB_medium_win,H02_vs_H10__HB_medium_win
P17,H02,H10,HB_short_win,H02_vs_H10__HB_short_win
P17,H02,H10,tie_photo_finish,H02_vs_H10__tie_photo_finish
P18,H03,H04,HA_long_win,H03_vs_H04__HA_long_win
P18,H03,H04,HA_medium_win,H03_vs_H04__HA_medium_win
P18,H03,H04,HA_short_win,H03_vs_H04__HA_short_win
P18,H03,H04,HB_long_win,H03_vs_H04__HB_long_win
P18,H03,H04,HB_medium_win,H03_vs_H04__HB_medium_win
P18,H03,H04,HB_short_win,H03_vs_H04__HB_short_win
P18,H03,H04,tie_photo_finish,H03_vs_H04__tie_photo_finish
P19,H03,H05,HA_long_win,H03_vs_H05__HA_long_win
P19,H03,H05,HA_medium_win,H03_vs_H05__HA_medium_win
P19,H03,H05,HA_short_win,H03_vs_H05__HA_short_win
P19,H03,H05,HB_long_win,H03_vs_H05__HB_long_win
P19,H03,H05,HB_medium_win,H03_vs_H05__HB_medium_win
P19,H03,H05,HB_short_win,H03_vs_H05__HB_short_win
P19,H03,H05,tie_photo_finish,H03_vs_H05__tie_photo_finish
P20,H03,H06,HA_long_win,H03_vs_H06__HA_long_win
P20,H03,H06,HA_medium_win,H03_vs_H06__HA_medium_win
P20,H03,H06,HA_short_win,H03_vs_H06__HA_short_win
P20,H03,H06,HB_long_win,H03_vs_H06__HB_long_win
P20,H03,H06,HB_medium_win,H03_vs_H06__HB_medium_win
P20,H03,H06,HB_short_win,H03_vs_H06__HB_short_win
P20,H03,H06,tie_photo_finish,H03_vs_H06__tie_photo_finish
P21,H03,H07,HA_long_win,H03_vs_H07__HA_long_win
P21,H03,H07,HA_medium_win,H03_vs_H07__HA_medium_win
P21,H03,H07,HA_short_win,H03_vs_H07__HA_short_win
P21,H03,H07,HB_long_win,H03_vs_H07__HB_long_win
P21,H03,H07,HB_medium_win,H03_vs_H07__HB_medium_win
P21,H03,H07,HB_short_win,H03_vs_H07__HB_short_win
P21,H03,H07,tie_photo_finish,H03_vs_H07__tie_photo_finish
P22,H03,H08,HA_long_win,H03_vs_H08__HA_long_win
P22,H03,H08,HA_medium_win,H03_vs_H08__HA_medium_win
P22,H03,H08,HA_short_win,H03_vs_H08__HA_short_win
P22,H03,H08,HB_long_win,H03_vs_H08__HB_long_win
P22,H03,H08,HB_medium_win,H03_vs_H08__HB_medium_win
P22,H03,H08,HB_short_win,H03_vs_H08__HB_short_win
P22,H03,H08,tie_photo_finish,H03_vs_H08__tie_photo_finish
P23,H03,H09,HA_long_win,H03_vs_H09__HA_long_win
P23,H03,H09,HA_medium_win,H03_vs_H09__HA_medium_win
P23,H03,H09,HA_short_win,H03_vs_H09__HA_short_win
P23,H03,H09,HB_long_win,H03_vs_H09__HB_long_win
P23,H03,H09,HB_medium_win,H03_vs_H09__HB_medium_win
P23,H03,H09,HB_short_win,H03_vs_H09__HB_short_win
P23,H03,H09,tie_photo_finish,H03_vs_H09__tie_photo_finish
P24,H03,H10,HA_long_win,H03_vs_H10__HA_long_win
P24,H03,H10,HA_medium_win,H03_vs_H10__HA_medium_win
P24,H03,H10,HA_short_win,H03_vs_H10__HA_short_win
P24,H03,H10,HB_long_win,H03_vs_H10__HB_long_win
P24,H03,H10,HB_medium_win,H03_vs_H10__HB_medium_win
P24,H03,H10,HB_short_win,H03_vs_H10__HB_short_win
P24,H03,H10,tie_photo_finish,H03_vs_H10__tie_photo_finish
P25,H04,H05,HA_long_win,H04_vs_H05__HA_long_win
P25,H04,H05,HA_medium_win,H04_vs_H05__HA_medium_win
P25,H04,H05,HA_short_win,H04_vs_H05__HA_short_win
P25,H04,H05,HB_long_win,H04_vs_H05__HB_long_win
P25,H04,H05,HB_medium_win,H04_vs_H05__HB_medium_win
P25,H04,H05,HB_short_win,H04_vs_H05__HB_short_win
P25,H04,H05,tie_photo_finish,H04_vs_H05__tie_photo_finish
P26,H04,H06,HA_long_win,H04_vs_H06__HA_long_win
P26,H04,H06,HA_medium_win,H04_vs_H06__HA_medium_win
P26,H04,H06,HA_short_win,H04_vs_H06__HA_short_win
P26,H04,H06,HB_long_win,H04_vs_H06__HB_long_win
P26,H04,H06,HB_medium_win,H04_vs_H06__HB_medium_win
P26,H04,H06,HB_short_win,H04_vs_H06__HB_short_win
P26,H04,H06,tie_photo_finish,H04_vs_H06__tie_photo_finish
P27,H04,H07,HA_long_win,H04_vs_H07__HA_long_win
P27,H04,H07,HA_medium_win,H04_vs_H07__HA_medium_win
P27,H04,H07,HA_short_win,H04_vs_H07__HA_short_win
P27,H04,H07,HB_long_win,H04_vs_H07__HB_long_win
P27,H04,H07,HB_medium_win,H04_vs_H07__HB_medium_win
P27,H04,H07,HB_short_win,H04_vs_H07__HB_short_win
P27,H04,H07,tie_photo_finish,H04_vs_H07__tie_photo_finish
P28,H04,H08,HA_long_win,H04_vs_H08__HA_long_win
P28,H04,H08,HA_medium_win,H04_vs_H08__HA_medium_win
P28,H04,H08,HA_short_win,H04_vs_H08__HA_short_win
P28,H04,H08,HB_long_win,H04_vs_H08__HB_long_win
P28,H04,H08,HB_medium_win,H04_vs_H08__HB_medium_win
P28,H04,H08,HB_short_win,H04_vs_H08__HB_short_win
P28,H04,H08,tie_photo_finish,H04_vs_H08__tie_photo_finish
P29,H04,H09,HA_long_win,H04_vs_H09__HA_long_win
P29,H04,H09,HA_medium_win,H04_vs_H09__HA_medium_win
P29,H04,H09,HA_short_win,H04_vs_H09__HA_short_win
P29,H04,H09,HB_long_win,H04_vs_H09__HB_long_win
P29,H04,H09,HB_medium_win,H04_vs_H09__HB_medium_win
P29,H04,H09,HB_short_win,H04_vs_H09__HB_short_win
P29,H04,H09,tie_photo_finish,H04_vs_H09__tie_photo_finish
P30,H04,H10,HA_long_win,H04_vs_H10__HA_long_win
P30,H04,H10,HA_medium_win,H04_vs_H10__HA_medium_win
P30,H04,H10,HA_short_win,H04_vs_H10__HA_short_win
P30,H04,H10,HB_long_win,H04_vs_H10__HB_long_win
P30,H04,H10,HB_medium_win,H04_vs_H10__HB_medium_win
P30,H04,H10,HB_short_win,H04_vs_H10__HB_short_win
P30,H04,H10,tie_photo_finish,H04_vs_H10__tie_photo_finish
P31,H05,H06,HA_long_win,H05_vs_H06__HA_long_win
P31,H05,H06,HA_medium_win,H05_vs_H06__HA_medium_win
P31,H05,H06,HA_short_win,H05_vs_H06__HA_short_win
P31,H05,H06,HB_long_win,H05_vs_H06__HB_long_win
P31,H05,H06,HB_medium_win,H05_vs_H06__HB_medium_win
P31,H05,H06,HB_short_win,H05_vs_H06__HB_short_win
P31,H05,H06,tie_photo_finish,H05_vs_H06__tie_photo_finish
P32,H05,H07,HA_long_win,H05_vs_H07__HA_long_win
P32,H05,H07,HA_medium_win,H05_vs_H07__HA_medium_win
P32,H05,H07,HA_short_win,H05_vs_H07__HA_short_win
P32,H05,H07,HB_long_win,H05_vs_H07__HB_long_win
P32,H05,H07,HB_medium_win,H05_vs_H07__HB_medium_win
P32,H05,H07,HB_short_win,H05_vs_H07__HB_short_win
P32,H05,H07,tie_photo_finish,H05_vs_H07__tie_photo_finish
P33,H05,H08,HA_long_win,H05_vs_H08__HA_long_win
P33,H05,H08,HA_medium_win,H05_vs_H08__HA_medium_win
P33,H05,H08,HA_short_win,H05_vs_H08__HA_short_win
P33,H05,H08,HB_long_win,H05_vs_H08__HB_long_win
P33,H05,H08,HB_medium_win,H05_vs_H08__HB_medium_win
P33,H05,H08,HB_short_win,H05_vs_H08__HB_short_win
P33,H05,H08,tie_photo_finish,H05_vs_H08__tie_photo_finish
P34,H05,H09,HA_long_win,H05_vs_H09__HA_long_win
P34,H05,H09,HA_medium_win,H05_vs_H09__HA_medium_win
P34,H05,H09,HA_short_win,H05_vs_H09__HA_short_win
P34,H05,H09,HB_long_win,H05_vs_H09__HB_long_win
P34,H05,H09,HB_medium_win,H05_vs_H09__HB_medium_win
P34,H05,H09,HB_short_win,H05_vs_H09__HB_short_win
P34,H05,H09,tie_photo_finish,H05_vs_H09__tie_photo_finish
P35,H05,H10,HA_long_win,H05_vs_H10__HA_long_win
P35,H05,H10,HA_medium_win,H05_vs_H10__HA_medium_win
P35,H05,H10,HA_short_win,H05_vs_H10__HA_short_win
P35,H05,H10,HB_long_win,H05_vs_H10__HB_long_win
P35,H05,H10,HB_medium_win,H05_vs_H10__HB_medium_win
P35,H05,H10,HB_short_win,H05_vs_H10__HB_short_win
P35,H05,H10,tie_photo_finish,H05_vs_H10__tie_photo_finish
P36,H06,H07,HA_long_win,H06_vs_H07__HA_long_win
P36,H06,H07,HA_medium_win,H06_vs_H07__HA_medium_win
P36,H06,H07,HA_short_win,H06_vs_H07__HA_short_win
P36,H06,H07,HB_long_win,H06_vs_H07__HB_long_win
P36,H06,H07,HB_medium_win,H06_vs_H07__HB_medium_win
P36,H06,H07,HB_short_win,H06_vs_H07__HB_short_win
P36,H06,H07,tie_photo_finish,H06_vs_H07__tie_photo_finish
P37,H06,H08,HA_long_win,H06_vs_H08__HA_long_win
P37,H06,H08,HA_medium_win,H06_vs_H08__HA_medium_win
P37,H06,H08,HA_short_win,H06_vs_H08__HA_short_win
P37,H06,H08,HB_long_win,H06_vs_H08__HB_long_win
P37,H06,H08,HB_medium_win,H06_vs_H08__HB_medium_win
P37,H06,H08,HB_short_win,H06_vs_H08__HB_short_win
P37,H06,H08,tie_photo_finish,H06_vs_H08__tie_photo_finish
P38,H06,H09,HA_long_win,H06_vs_H09__HA_long_win
P38,H06,H09,HA_medium_win,H06_vs_H09__HA_medium_win
P38,H06,H09,HA_short_win,H06_vs_H09__HA_short_win
P38,H06,H09,HB_long_win,H06_vs_H09__HB_long_win
P38,H06,H09,HB_medium_win,H06_vs_H09__HB_medium_win
P38,H06,H09,HB_short_win,H06_vs_H09__HB_short_win
P38,H06,H09,tie_photo_finish,H06_vs_H09__tie_photo_finish
P39,H06,H10,HA_long_win,H06_vs_H10__HA_long_win
P39,H06,H10,HA_medium_win,H06_vs_H10__HA_medium_win
P39,H06,H10,HA_short_win,H06_vs_H10__HA_short_win
P39,H06,H10,HB_long_win,H06_vs_H10__HB_long_win
P39,H06,H10,HB_medium_win,H06_vs_H10__HB_medium_win
P39,H06,H10,HB_short_win,H06_vs_H10__HB_short_win
P39,H06,H10,tie_photo_finish,H06_vs_H10__tie_photo_finish
P40,H07,H08,HA_long_win,H07_vs_H08__HA_long_win
P40,H07,H08,HA_medium_win,H07_vs_H08__HA_medium_win
P40,H07,H08,HA_short_win,H07_vs_H08__HA_short_win
P40,H07,H08,HB_long_win,H07_vs_H08__HB_long_win
P40,H07,H08,HB_medium_win,H07_vs_H08__HB_medium_win
P40,H07,H08,HB_short_win,H07_vs_H08__HB_short_win
P40,H07,H08,tie_photo_finish,H07_vs_H08__tie_photo_finish
P41,H07,H09,HA_long_win,H07_vs_H09__HA_long_win
P41,H07,H09,HA_medium_win,H07_vs_H09__HA_medium_win
P41,H07,H09,HA_short_win,H07_vs_H09__HA_short_win
P41,H07,H09,HB_long_win,H07_vs_H09__HB_long_win
P41,H07,H09,HB_medium_win,H07_vs_H09__HB_medium_win
P41,H07,H09,HB_short_win,H07_vs_H09__HB_short_win
P41,H07,H09,tie_photo_finish,H07_vs_H09__tie_photo_finish
P42,H07,H10,HA_long_win,H07_vs_H10__HA_long_win
P42,H07,H10,HA_medium_win,H07_vs_H10__HA_medium_win
P42,H07,H10,HA_short_win,H07_vs_H10__HA_short_win
P42,H07,H10,HB_long_win,H07_vs_H10__HB_long_win
P42,H07,H10,HB_medium_win,H07_vs_H10__HB_medium_win
P42,H07,H10,HB_short_win,H07_vs_H10__HB_short_win
P42,H07,H10,tie_photo_finish,H07_vs_H10__tie_photo_finish
P43,H08,H09,HA_long_win,H08_vs_H09__HA_long_win
P43,H08,H09,HA_medium_win,H08_vs_H09__HA_medium_win
P43,H08,H09,HA_short_win,H08_vs_H09__HA_short_win
P43,H08,H09,HB_long_win,H08_vs_H09__HB_long_win
P43,H08,H09,HB_medium_win,H08_vs_H09__HB_medium_win
P43,H08,H09,HB_short_win,H08_vs_H09__HB_short_win
P43,H08,H09,tie_photo_finish,H08_vs_H09__tie_photo_finish
P44,H08,H10,HA_long_win,H08_vs_H10__HA_long_win
P44,H08,H10,HA_medium_win,H08_vs_H10__HA_medium_win
P44,H08,H10,HA_short_win,H08_vs_H10__HA_short_win
P44,H08,H10,HB_long_win,H08_vs_H10__HB_long_win
P44,H08,H10,HB_medium_win,H08_vs_H10__HB_medium_win
P44,H08,H10,HB_short_win,H08_vs_H10__HB_short_win
P44,H08,H10,tie_photo_finish,H08_vs_H10__tie_photo_finish
P45,H09,H10,HA_long_win,H09_vs_H10__HA_long_win
P45,H09,H10,HA_medium_win,H09_vs_H10__HA_medium_win
P45,H09,H10,HA_short_win,H09_vs_H10__HA_short_win
P45,H09,H10,HB_long_win,H09_vs_H10__HB_long_win
P45,H09,H10,HB_medium_win,H09_vs_H10__HB_medium_win
P45,H09,H10,HB_short_win,H09_vs_H10__HB_short_win
P45,H09,H10,tie_photo_finish,H09_vs_H10__tie_photo_finish
